58|57|58|57|56|55|56|57|56|57|
51|50|51|49|39|38|37|34|35|34|
30|17|20|21|6|5|4|3|4|3|
48|47|45|42|45|47|48|47|45|44|
17|15|14|26|27|32|33|32|33|31|
26|27|32|34|37|34|35|34|32|33|
42|41|21|6|21|23|21|23|21|6|
7|6|21|23|21|23|5|23|5|23|
12|11|16|15|16|11|10|11|12|13|
3|2|3|4|5|6|5|23|21|6|
44|45|42|41|21|41|42|41|42|41|
11|12|13|14|26|14|15|17|20|17|
5|6|7|6|7|10|7|8|7|10|
13|14|26|14|13|12|13|14|15|17|
30|17|10|11|10|7|6|7|6|21|
32|33|31|29|28|27|28|29|30|17|
52|53|49|51|50|56|55|56|57|56|
45|47|48|39|49|51|49|51|49|54|
51|50|37|50|51|49|39|36|31|33|
29|31|43|31|36|44|36|44|36|35|
17|10|17|15|14|13|14|26|27|26|
58|57|58|57|56|50|56|50|51|50|
10|11|16|11|16|15|17|20|19|20|
31|33|32|34|35|34|37|38|37|34|
45|44|36|31|36|44|36|44|36|35|
27|28|27|28|29|28|27|32|33|32|
8|7|19|7|6|7|8|7|10|17|
51|49|51|50|56|55|56|55|56|50|
27|28|29|28|27|32|33|31|29|28|
33|31|33|31|33|32|34|37|38|39|
35|36|39|36|35|34|37|34|32|33|
17|10|9|10|7|10|7|19|7|19|
31|36|31|33|31|33|32|34|35|36|
2|3|4|3|2|1|25|0|25|1|
37|38|37|38|37|38|37|34|32|33|
42|43|42|45|47|48|39|48|47|45|
7|19|7|6|21|6|21|41|42|43|
50|56|50|56|55|54|49|39|36|44|
4|5|23|21|20|21|23|21|6|21|
53|52|47|48|47|45|42|43|42|45|
27|32|27|32|33|32|33|31|36|31|
15|16|15|14|15|14|13|14|26|27|
36|39|36|35|34|32|34|35|36|35|
50|56|50|56|50|56|55|54|49|54|
23|5|23|21|20|17|15|17|30|29|
51|49|53|52|53|52|47|52|53|52|
45|42|43|42|45|44|45|42|43|42|
5|6|7|6|5|23|21|6|21|6|
16|15|16|15|16|15|16|15|16|11|
38|37|34|35|36|31|29|30|17|20|
10|9|10|11|10|7|10|17|20|19|
30|29|31|33|32|27|26|27|32|27|
21|41|21|20|19|20|21|20|21|20|
6|21|41|21|20|17|20|19|7|8|
40|29|31|33|32|33|31|43|42|43|
36|31|29|40|29|40|41|21|6|7|
3|2|1|25|0|25|0|25|1|2|
31|43|31|36|44|45|42|43|31|36|
7|19|20|17|20|19|7|6|21|20|
23|5|23|21|41|40|41|42|41|40|
13|14|13|12|11|10|17|15|14|15|
4|5|4|3|2|1|25|0|25|0|
57|58|57|58|57|58|57|56|55|56|
56|55|56|57|56|57|58|57|58|57|
51|49|53|52|53|52|53|49|53|52|
17|20|19|20|17|10|7|8|7|8|
58|57|58|57|56|50|56|55|56|57|
29|40|29|31|43|42|43|42|43|31|
41|21|6|21|20|19|20|19|7|19|
34|32|34|32|34|32|34|32|27|32|
52|53|49|53|49|51|50|56|57|56|
6|21|6|21|20|17|30|29|28|27|
9|10|17|20|17|15|14|13|14|13|
11|12|13|14|13|14|26|27|26|14|
14|13|12|13|12|11|16|15|17|20|
36|39|36|31|33|32|27|26|14|13|
33|31|43|31|43|31|29|31|33|32|
47|45|42|41|42|45|44|45|42|45|
12|13|14|13|12|11|12|11|10|9|
42|45|42|43|31|36|39|48|39|38|
49|39|38|37|34|32|27|26|14|15|
3|4|5|23|21|6|5|6|5|23|
32|33|31|36|31|33|32|27|28|29|
53|49|54|49|53|52|53|52|53|49|
20|19|7|10|9|10|17|30|17|15|
52|47|48|47|52|47|45|44|36|31|
25|1|25|0|25|1|25|0|25|1|
44|36|44|36|44|36|39|38|39|38|
52|53|49|53|49|51|49|54|49|54|
27|26|27|32|34|37|38|39|48|39|
12|11|16|15|14|13|14|13|14|26|
15|14|13|12|13|14|26|27|28|29|
23|21|20|19|7|6|7|19|20|17|
47|48|39|36|35|36|39|49|39|48|
8|7|6|21|23|21|23|21|41|40|
5|4|5|23|21|6|21|20|17|15|
27|26|27|32|27|26|27|26|14|13|
19|20|17|15|17|15|14|26|27|28|
42|43|42|43|31|36|35|36|44|36|
28|29|28|29|30|17|10|7|10|9|
6|21|23|21|6|5|4|5|6|7|
17|20|21|41|42|43|42|45|42|41|
42|43|31|43|42|45|42|43|31|29|
2|3|2|1|25|0|25|0|25|1|
38|37|50|56|55|56|55|54|55|56|
43|42|41|21|41|40|29|28|29|40|
29|31|29|31|43|31|36|31|29|31|
49|51|49|53|52|53|52|47|52|47|
2|1|2|1|25|0|25|1|2|1|
5|23|5|23|5|23|5|6|21|23|
2|3|2|3|4|3|2|1|2|1|
27|32|27|26|27|28|29|30|29|40|
41|40|41|40|41|40|41|42|43|42|
36|44|45|47|45|42|43|31|33|32|
54|49|39|49|54|55|56|57|56|50|
28|27|28|27|32|34|32|34|32|33|
28|27|28|27|32|33|32|33|31|36|
2|1|25|1|2|1|25|0|25|1|
17|30|17|30|29|40|29|30|17|20|
38|37|34|32|27|26|14|13|12|11|
25|1|2|1|25|1|2|3|4|5|
55|56|50|37|50|56|55|54|55|56|
45|42|41|21|41|21|6|5|6|7|
31|29|30|17|20|19|7|19|7|19|
16|15|14|15|16|11|10|17|15|14|
57|56|55|56|55|56|55|54|49|54|
37|50|56|57|58|57|58|57|58|57|
47|48|39|36|44|45|42|45|47|48|
57|58|57|56|55|56|50|56|57|56|
57|56|55|54|49|54|55|56|57|56|
