19|20|19|7|6|21|23|5|23|21|6|5|4|3|2|1|25|2|1|25|
12|11|10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|
3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|
11|10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|
0|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|
16|11|10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|
8|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|
13|12|11|10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|
10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|
4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|
0|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|
6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|
19|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|
18|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|
3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|
19|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|
9|10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|
15|14|13|12|11|10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|
0|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|
8|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|
11|10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|
16|11|10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|
13|12|11|10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|
7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|
7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|
12|11|10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|
1|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|
5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|
10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|1|
13|12|11|10|7|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|
55|54|49|39|36|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|
43|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|2|
43|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|2|
56|50|37|34|32|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|
50|37|34|32|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|2|
56|50|37|34|32|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|
48|39|36|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|1|
52|47|45|42|41|21|6|5|4|3|2|1|25|2|1|25|2|1|25|2|
56|50|37|34|32|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|
48|39|36|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|1|
56|50|37|34|32|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|
42|41|21|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|
47|45|42|41|21|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|
48|39|36|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|1|
46|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|1|25|2|
53|49|39|36|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|
47|45|42|41|21|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|
52|47|45|42|41|21|6|5|4|3|2|1|25|2|1|25|2|1|25|2|
56|50|37|34|32|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|
40|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|2|1|
44|36|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|
56|50|37|34|32|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|
47|45|42|41|21|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|
45|42|41|21|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|
51|49|39|36|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|
49|39|36|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|1|
53|49|39|36|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|
57|56|50|37|34|32|27|26|14|13|12|11|10|7|6|5|4|3|2|1|
52|47|45|42|41|21|6|5|4|3|2|1|25|2|1|25|2|1|25|2|
58|57|56|50|37|34|32|27|26|14|13|12|11|10|7|6|5|4|3|2|
56|50|37|34|32|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|
47|45|42|41|21|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|
42|41|21|6|5|4|3|2|1|25|2|1|25|2|1|25|2|1|25|2|
40|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|2|1|
56|50|37|34|32|27|26|14|13|12|11|10|7|6|5|4|3|2|1|25|
58|57|56|50|37|34|32|27|26|14|13|12|11|10|7|6|5|4|3|2|
53|49|39|36|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|
51|49|39|36|31|29|28|27|26|14|13|12|11|10|7|6|5|4|3|2|
